Event,Course,Gender,Time,Meet,Age Group
400 IM,SCY,Female,4:47.49,Age Group Champs,13-14
400 IM,LCM,Male,5:16.09,Age Group Champs,13-14
400 IM,SCY,Male,4:34.69,Age Group Champs,13-14
50 Free,SCY,Female,22.99,Summer Junior Nationals,18&U
50 Free,LCM,Female,26.59,Summer Junior Nationals,18&U
50 Free,SCY,Male,20.39,Summer Junior Nationals,18&U
50 Free,LCM,Male,23.79,Summer Junior Nationals,18&U
100 Free,SCY,Female,49.99,Summer Junior Nationals,18&U
100 Free,LCM,Female,57.69,Summer Junior Nationals,18&U
100 Free,SCY,Male,44.39,Summer Junior Nationals,18&U
100 Free,LCM,Male,51.99,Summer Junior Nationals,18&U
200 Free,SCY,Female,1:48.29,Summer Junior Nationals,18&U
200 Free,LCM,Female,2:04.99,Summer Junior Nationals,18&U
200 Free,SCY,Male,1:37.89,Summer Junior Nationals,18&U
200 Free,LCM,Male,1:54.09,Summer Junior Nationals,18&U
400/500 Free,SCY,Female,4:50.09,Summer Junior Nationals,18&U
400/500 Free,LCM,Female,4:23.59,Summer Junior Nationals,18&U
400/500 Free,SCY,Male,4:27.09,Summer Junior Nationals,18&U
400/500 Free,LCM,Male,4:02.49,Summer Junior Nationals,18&U
800/1000 Free,SCY,Female,10:04.99,Summer Junior Nationals,18&U
800/1000 Free,LCM,Female,9:06.79,Summer Junior Nationals,18&U
800/1000 Free,SCY,Male,9:13.19,Summer Junior Nationals,18&U
800/1000 Free,LCM,Male,8:23.09,Summer Junior Nationals,18&U
1500/1650 Free,SCY,Female,16:51.49,Summer Junior Nationals,18&U
1500/1650 Free,LCM,Female,17:26.79,Summer Junior Nationals,18&U
1500/1650 Free,SCY,Male,15:34.19,Summer Junior Nationals,18&U
1500/1650 Free,LCM,Male,16:05.09,Summer Junior Nationals,18&U
100 Back,SCY,Female,54.39,Summer Junior Nationals,18&U
100 Back,LCM,Female,1:04.29,Summer Junior Nationals,18&U
100 Back,SCY,Male,48.79,Summer Junior Nationals,18&U
100 Back,LCM,Male,58.19,Summer Junior Nationals,18&U
200 Back,SCY,Female,1:58.29,Summer Junior Nationals,18&U
200 Back,LCM,Female,2:19.29,Summer Junior Nationals,18&U
200 Back,SCY,Male,1:46.79,Summer Junior Nationals,18&U
200 Back,LCM,Male,2:06.99,Summer Junior Nationals,18&U
100 Breast,SCY,Female,1:02.49,Summer Junior Nationals,18&U
100 Breast,LCM,Female,1:13.29,Summer Junior Nationals,18&U
100 Breast,SCY,Male,55.09,Summer Junior Nationals,18&U
100 Breast,LCM,Male,1:05.19,Summer Junior Nationals,18&U
200 Breast,SCY,Female,2:15.59,Summer Junior Nationals,18&U
200 Breast,LCM,Female,2:38.59,Summer Junior Nationals,18&U
200 Breast,SCY,Male,2:00.59,Summer Junior Nationals,18&U
200 Breast,LCM,Male,2:22.59,Summer Junior Nationals,18&U
100 Fly,SCY,Female,54.19,Summer Junior Nationals,18&U
100 Fly,LCM,Female,1:02.49,Summer Junior Nationals,18&U
100 Fly,SCY,Male,48.29,Summer Junior Nationals,18&U
100 Fly,LCM,Male,55.89,Summer Junior Nationals,18&U
200 Fly,SCY,Female,2:00.59,Summer Junior Nationals,18&U
200 Fly,LCM,Female,2:18.39,Summer Junior Nationals,18&U
200 Fly,SCY,Male,1:47.89,Summer Junior Nationals,18&U
200 Fly,LCM,Male,2:05.09,Summer Junior Nationals,18&U
200 IM,SCY,Female,2:01.19,Summer Junior Nationals,18&U
200 IM,LCM,Female,2:21.29,Summer Junior Nationals,18&U
200 IM,SCY,Male,1:48.79,Summer Junior Nationals,18&U
200 IM,LCM,Male,2:07.99,Summer Junior Nationals,18&U
400 IM,SCY,Female,4:18.99,Summer Junior Nationals,18&U
400 IM,LCM,Female,5:00.29,Summer Junior Nationals,18&U
400 IM,SCY,Male,3:52.69,Summer Junior Nationals,18&U
400 IM,LCM,Male,4:33.09,Summer Junior Nationals,18&U
50 Free,SCY,Female,23.29,Summer Junior Nationals,18&U
50 Free,LCM,Female,26.89,Summer Junior Nationals,18&U
50 Free,SCY,Male,20.59,Summer Junior Nationals,18&U
50 Free,LCM,Male,24.09,Summer Junior Nationals,18&U
100 Free,SCY,Female,50.39,Summer Junior Nationals,18&U
100 Free,LCM,Female,58.19,Summer Junior Nationals,18&U
100 Free,SCY,Male,44.99,Summer Junior Nationals,18&U
100 Free,LCM,Male,52.59,Summer Junior Nationals,18&U
200 Free,SCY,Female,1:49.09,Summer Junior Nationals,18&U
200 Free,LCM,Female,2:04.99,Summer Junior Nationals,18&U
200 Free,SCY,Male,1:38.59,Summer Junior Nationals,18&U
200 Free,LCM,Male,1:55.29,Summer Junior Nationals,18&U
400/500 Free,SCY,Female,4:53.59,Summer Junior Nationals,18&U
400/500 Free,LCM,Female,4:26.69,Summer Junior Nationals,18&U
400/500 Free,SCY,Male,4:29.29,Summer Junior Nationals,18&U
400/500 Free,LCM,Male,4:05.29,Summer Junior Nationals,18&U
800/1000 Free,SCY,Female,10:11.49,Summer Junior Nationals,18&U
800/1000 Free,LCM,Female,9:06.79,Summer Junior Nationals,18&U
800/1000 Free,SCY,Male,9:24.29,Summer Junior Nationals,18&U
800/1000 Free,LCM,Male,8:28.19,Summer Junior Nationals,18&U
1500/1650 Free,SCY,Female,17:02.19,Summer Junior Nationals,18&U
1500/1650 Free,LCM,Female,17:26.79,Summer Junior Nationals,18&U
1500/1650 Free,SCY,Male,15:40.39,Summer Junior Nationals,18&U
1500/1650 Free,LCM,Male,16:14.79,Summer Junior Nationals,18&U
100 Back,SCY,Female,55.09,Summer Junior Nationals,18&U
100 Back,LCM,Female,1:04.79,Summer Junior Nationals,18&U
100 Back,SCY,Male,49.29,Summer Junior Nationals,18&U
100 Back,LCM,Male,58.19,Summer Junior Nationals,18&U
200 Back,SCY,Female,1:59.39,Summer Junior Nationals,18&U
200 Back,LCM,Female,2:19.59,Summer Junior Nationals,18&U
200 Back,SCY,Male,1:47.99,Summer Junior Nationals,18&U
200 Back,LCM,Male,2:08.29,Summer Junior Nationals,18&U
100 Breast,SCY,Female,1:03.09,Summer Junior Nationals,18&U
100 Breast,LCM,Female,1:13.79,Summer Junior Nationals,18&U
100 Breast,SCY,Male,55.69,Summer Junior Nationals,18&U
100 Breast,LCM,Male,1:05.99,Summer Junior Nationals,18&U
200 Breast,SCY,Female,2:17.19,Summer Junior Nationals,18&U
200 Breast,LCM,Female,2:38.59,Summer Junior Nationals,18&U
200 Breast,SCY,Male,2:01.89,Summer Junior Nationals,18&U
200 Breast,LCM,Male,2:24.39,Summer Junior Nationals,18&U
100 Fly,SCY,Female,54.69,Summer Junior Nationals,18&U
100 Fly,LCM,Female,1:02.69,Summer Junior Nationals,18&U
100 Fly,SCY,Male,48.79,Summer Junior Nationals,18&U
100 Fly,LCM,Male,56.59,Summer Junior Nationals,18&U
200 Fly,SCY,Female,2:01.69,Summer Junior Nationals,18&U
200 Fly,LCM,Female,2:18.39,Summer Junior Nationals,18&U
200 Fly,SCY,Male,1:49.29,Summer Junior Nationals,18&U
200 Fly,LCM,Male,2:06.39,Summer Junior Nationals,18&U
200 IM,SCY,Female,2:02.19,Summer Junior Nationals,18&U
200 IM,LCM,Female,2:22.09,Summer Junior Nationals,18&U
200 IM,SCY,Male,1:49.79,Summer Junior Nationals,18&U
200 IM,LCM,Male,2:09.49,Summer Junior Nationals,18&U
400 IM,SCY,Female,4:21.69,Summer Junior Nationals,18&U
400 IM,LCM,Female,5:00.29,Summer Junior Nationals,18&U
400 IM,SCY,Male,3:56.99,Summer Junior Nationals,18&U
400 IM,LCM,Male,4:35.89,Summer Junior Nationals,18&U
50 Free,SCY,Female,23.89,Futures,18&U
100 Free,SCY,Female,51.89,Futures,18&U
200 Free,SCY,Female,1:52.29,Futures,18&U
400 Free,SCY,Female,5:02.59,Futures,18&U
800 Free,SCY,Female,10:20.49,Futures,18&U
1500 Free,SCY,Female,17:14.39,Futures,18&U
